,CI,02,04,06,08,13,19,24,31,32,36,39,40,42,46,48,49,56,65,69,70,88,A4,A5,A6,B3,B7,D2,D4,D7,P86,RE,CD
36,71.42166666666667,38.16166666666666,15.39,23.111666666666668,37.23333333333333,25.126666666666665,21.65666666666667,25.611666666666668,39.04333333333333,4.4366666666666665,0.0,23.133333333333333,1.8916666666666664,4.683333333333334,23.66,40.63166666666667,36.263333333333335,42.28833333333333,22.766666666666666,24.46,40.711666666666666,10.078333333333337,2.3366666666666664,13.018333333333334,11.998333333333331,2.57,2.5383333333333336,2.005,25.15666666666667,23.385,24.0,2.3583333333333334,74.09166666666667
39,89.94333333333334,45.105,33.91,0.0216666666666666,44.17833333333333,3.385,26.84333333333333,3.87,45.986666666666665,21.19833333333333,19.946666666666665,0.0,18.205,23.203333333333333,0.5266666666666667,47.57666666666667,43.71333333333334,49.23166666666667,1.9066666666666667,3.645,44.525,28.598333333333336,19.566666666666663,31.540000000000003,30.52,19.60333333333333,19.571666666666665,20.10833333333333,3.415,0.5716666666666667,0.8683333333333334,19.66333333333333,92.61166666666666
40,72.57833333333333,39.31666666666667,16.545,21.836666666666662,38.39,23.85,22.811666666666667,24.335,40.19833333333334,3.5166666666666666,2.5816666666666666,21.85666666666667,0.0,5.838333333333334,22.383333333333333,41.78833333333333,37.41833333333333,43.443333333333335,21.491666666666667,23.185,41.86666666666667,11.233333333333333,1.885,14.173333333333334,13.153333333333334,1.4533333333333334,1.4216666666666666,2.7416666666666667,23.88,22.10833333333333,22.725,1.96,75.24666666666667
42,69.28166666666667,36.02,13.248333333333331,27.18,35.093333333333334,29.19333333333333,22.61,29.67833333333333,36.90166666666666,6.176666666666667,5.651666666666667,27.2,5.96,0.0,27.726666666666667,38.49166666666667,34.12166666666666,40.14666666666667,26.835,28.52833333333333,36.2,7.936666666666666,6.403333333333333,10.876666666666669,9.856666666666666,6.638333333333334,6.605,6.071666666666667,29.223333333333336,27.451666666666664,28.06833333333333,6.426666666666667,71.95
46,90.19,45.35166666666667,34.15833333333333,0.5483333333333333,44.425,3.375,27.09,3.8616666666666655,46.23333333333333,21.445,20.19333333333333,0.5266666666666667,18.451666666666664,23.451666666666664,0.0,47.82333333333334,43.96,49.47833333333333,2.433333333333333,3.635,44.77166666666667,28.845,19.813333333333333,31.78666666666667,30.766666666666666,19.851666666666667,19.81833333333333,20.355,3.405,0.8200000000000001,0.565,19.91,92.85833333333332
48,90.38333333333334,2.518333333333333,28.063333333333333,42.96833333333333,3.123333333333333,44.98166666666667,21.58833333333333,45.46833333333333,2.92,37.885,39.8,42.99,39.626666666666665,36.705000000000005,43.516666666666666,0.0,3.53,2.955,42.623333333333335,44.31666666666667,4.086666666666667,31.855,38.583333333333336,28.14,31.115,39.415,39.44666666666667,40.22,45.01166666666666,43.24166666666667,43.85666666666667,39.193333333333335,93.05166666666668
49,87.32,2.365,25.001666666666665,40.211666666666666,1.4383333333333332,42.225,18.83,42.71,3.246666666666667,34.82166666666667,36.736666666666665,40.23166666666667,36.565000000000005,33.64333333333333,40.75833333333333,4.836666666666667,0.0,6.491666666666666,39.86666666666667,41.55833333333333,2.545,28.791666666666668,35.52,25.078333333333333,28.05333333333333,36.35166666666667,36.385,37.156666666666666,42.255,40.48333333333333,41.1,36.13166666666667,89.99
56,91.07166666666669,3.2066666666666666,28.751666666666665,43.656666666666666,3.8116666666666665,45.67166666666667,22.276666666666664,46.156666666666666,3.608333333333333,38.57333333333334,40.48833333333334,43.67833333333333,40.315000000000005,37.39333333333333,44.205000000000005,2.955,4.218333333333333,0.0,43.31333333333334,45.005,4.776666666666667,32.54333333333333,39.27166666666667,28.828333333333333,31.805,40.10333333333333,40.135,40.90833333333333,45.70166666666667,43.93,44.545,39.88166666666667,93.74
65,89.205,43.07333333333334,33.17333333333333,1.9183333333333328,42.145,3.2883333333333336,24.81,3.773333333333333,43.955000000000005,20.46,19.20833333333333,1.9383333333333328,17.466666666666665,22.466666666666665,2.4650000000000003,45.54333333333333,41.68,47.2,0.0,2.6866666666666665,42.49166666666667,27.86,18.828333333333333,30.801666666666662,29.78166666666667,18.866666666666667,18.83333333333333,19.37,3.3183333333333334,2.51,2.806666666666666,18.925,91.87333333333332
69,91.51,45.01166666666666,35.47666666666667,1.9966666666666664,44.083333333333336,1.2566666666666668,26.74833333333333,1.375,45.89333333333333,22.765,21.51333333333333,2.0166666666666666,19.771666666666665,24.77,2.545,47.48166666666667,43.61833333333333,49.13666666666666,2.938333333333333,0.0,44.43,30.165000000000003,21.133333333333333,33.10666666666667,32.086666666666666,21.17,21.13833333333333,21.673333333333336,0.9183333333333332,2.5900000000000003,2.885,21.23,94.17833333333331
